Unnamed: 0.1,Unnamed: 0,file,orgText,outText,WER
35,35,achtgesichterambiwasse/achtgesichterambiwasse_0035.wav,als kämen mit den drei segeln drei weisse unbeschriebene blätter aus ihrem schicksalsbuch geschwommen,als kämen mit den drei segeln drei weiße unbeschriebene blätter aus ihrem schicksal buch geschwommen ,0.2142857142857142
36,36,achtgesichterambiwasse/achtgesichterambiwasse_0036.wav,und plötzlich las sie als eine sekunde von windstille die segel schlaff werden liess ein japanisches schriftzeichen,und plötzlich las sie als eine sekunde von windstille die segel schlaff werden ließ an japanisches schriftzeichen ,0.1176470588235294
37,37,achtgesichterambiwasse/achtgesichterambiwasse_0037.wav,zufällig entstanden aus den falten jeder segelleinwand das erste boot sagte «ich grüsse dich»,zufällig entstanden aus dem verhalten der segel leinwand das erste bot sagte ich grüße dich ,0.6428571428571429
38,38,achtgesichterambiwasse/achtgesichterambiwasse_0038.wav,das zweite boot sagte «ich liebe dich» das dritte boot sagte «ich töte dich»,das zweite bot sagte ich liebe dich das dritte bot sagte ich tötet dich sein ,0.5714285714285714
39,39,achtgesichterambiwasse/achtgesichterambiwasse_0039.wav,nach der kurzen windstille die knappe sekunden dauerte,nach der kurzen windstille die knappe sekunden dauerte ,0.0
40,40,achtgesichterambiwasse/achtgesichterambiwasse_0040.wav,wechselte der see seine farbe wie vergossene schwarze tusche über weisses papier lief eine finsternis über die seefläche,wechselte der see seine farbe wie vergossen schwarze tusche über weißes papier lief eine finsternisse über die sehr fläche ,0.2777777777777778
41,41,achtgesichterambiwasse/achtgesichterambiwasse_0041.wav,und ganz unvermittelt setzte ein trompetender seesturm ein der alle drei segel fast flach auf das wasser legte,und ganz unvermittelt setzte ein trompeten da sie sturm ein der alle drei segel fast flach auf das wasser legte ,0.2222222222222222
42,42,achtgesichterambiwasse/achtgesichterambiwasse_0042.wav,als müsste die leinwand den seeschaum reiben,es müsste die leinwand den sie schaum reiben ,0.4285714285714285
43,43,achtgesichterambiwasse/achtgesichterambiwasse_0043.wav,hanake tat einen schrei vor entsetzen da sie glaubte die segelboote müssten unter dem plötzlichen wind und in den kreiselnden wellen versinken,kanake tat einen schrei vor entsetzen dass sie glaubte die sie die boote müssten unter dem plötzlichen wind und in den kreisenden wellen versinken  ,0.2727272727272727
44,44,achtgesichterambiwasse/achtgesichterambiwasse_0044.wav,aber die drei boote hoben sich wieder geschickte hände regierten die segel doch dieses sah hanake nicht mehr,aber die drei boote hoben sich weder geschickte hände regierten die segel doch dieses sah anerkennen nicht mehr ,0.1111111111111111
45,45,achtgesichterambiwasse/achtgesichterambiwasse_0045.wav,sie hatte zugleich mit dem schrei als das aufgeregte schilf ihr um den nacken schlug einen sprung in die luft gemacht wie eine elektrisierte katze,sie hatte zugleich mit dem schrei als das aufgeregte schilf ihr um den nacken schlug einen sprung in die luft gemacht wie eine elektrisierte katze ,0.0
46,46,achtgesichterambiwasse/achtgesichterambiwasse_0046.wav,und war in das wasser gefallen und als sie die augen öffnete,und war in das wasser gefallen als sie die augen öffnete ,0.0833333333333333
47,47,achtgesichterambiwasse/achtgesichterambiwasse_0047.wav,sah sie ein rudel fische und wusste dass sie unter dem wasser war als wäre sie selbst ein fisch,sah sie einen rudolf fische und wusste dass sie unter dem wasser war als wäre sie selbst ein fisch ,0.1052631578947368
48,48,achtgesichterambiwasse/achtgesichterambiwasse_0048.wav,dann verlor sie das bewusstsein als sie aufwachte lag sie in ihrem zimmer es war nacht,dann verlor sie das bewusst sein als sie aufwachte lag sie in ihrem zimmer es war nach ,0.1875
49,49,achtgesichterambiwasse/achtgesichterambiwasse_0049.wav,eine kerze brannte und ihre lieblingsmagd welche «singende seemuschel» hiess kniete neben ihr und weinte in beide hände,eine kerze brannte und ihre lieblings markt welche singende see muschel hieß kniete neben ihr und weinte in beide hände sein ,0.3888888888888889
50,50,achtgesichterambiwasse/achtgesichterambiwasse_0050.wav,man hatte sie umgekleidet aber sie roch noch das seewasser von dem ihr haar nass war,man hatte sie um gekleidet aber sie roch noch das seewasser von dem ihre haut nass war ,0.25
51,51,achtgesichterambiwasse/achtgesichterambiwasse_0051.wav,und sie besann sich sofort wieder auf die drei schiffe und ihre erste frage war,und sie besann sich sofort wieder auf die drei schiffe und ihre erste frage war ,0.0
52,52,achtgesichterambiwasse/achtgesichterambiwasse_0052.wav,«sind die drei segelboote die aus yabase kamen untergegangen» die magd antwortete nicht,sind die drei segelbooten die aus ja base kamen untergegangen die markt antwortete nicht ,0.4615384615384615
53,53,achtgesichterambiwasse/achtgesichterambiwasse_0053.wav,hörte auf zu weinen und streichelte die hände ihrer herrin entzückt sie wieder lebend zu sehen,hörte auf zu weinen und streichelte die hände ihrer herrin entzückt sie wieder leben zu sehen  ,0.0625
54,54,achtgesichterambiwasse/achtgesichterambiwasse_0054.wav,«sind die drei segelboote untergegangen» fragte hanake beharrlich aber die singende seemuschel hatte keine segelboote gesehen,sind die drei segelboot untergegangen fragte handwerke beharrlich aber die singende see muschel hatte keine segelbooten gesehen ,0.4375
55,55,achtgesichterambiwasse/achtgesichterambiwasse_0055.wav,die magd hatte die herrin auf dem kies im schilf gefunden und geglaubt das junge mädchen sei von der landungsbrücke ins wasser gefallen,die markt hatte die herrin auf dem kies im schilf gefunden und geglaubt das junge mädchen sei von der landungsbrücke ins wasser gefallen ,0.0434782608695652
56,56,achtgesichterambiwasse/achtgesichterambiwasse_0056.wav,und habe sich durch einen zufall selbst gerettet «schiebe die seefenster auf»,und habe sich durch einen zufall selbst gerettet schiebe die sie fenster auf ,0.3333333333333333
57,57,achtgesichterambiwasse/achtgesichterambiwasse_0057.wav,sagte hanake zur magd diese tat wie ihr befohlen draussen lagen der see und der himmel wie ein einziges schwarzes loch,sagte kanake zur mag diese tat wie ihr befohlen draußen lagen der see und der himmel wie ein einziges schwarzes loch ,0.1428571428571428
58,58,achtgesichterambiwasse/achtgesichterambiwasse_0058.wav,kein stern kein mond kein licht auf dem see hanakes fenster schienen in einen abgrund zu schauen,kein stern keinen nur kein licht auf dem see analoges fenster schien in einen abgrund zu schauen ,0.2352941176470588
59,59,achtgesichterambiwasse/achtgesichterambiwasse_0059.wav,und dem jungen mädchen war als müsse sie zum zweitenmal ertrinken so schmerzhaft wurde ihr die finsternis draussen,und dem jungen mädchen war als müsse sie zum zweitenmal ertrinken so schmerzhaft wurde ihr die finsternisse draußen  ,0.1111111111111111
60,60,achtgesichterambiwasse/achtgesichterambiwasse_0060.wav,und in ihrer brust war eine leere so unendlich wie die nacht über dem biwasee als habe sie einen grossen verlust erlitten,und in ihrer brust war eine lehre zu unendlich wie die nacht über den blieb sie als habe sie einen großen verlust erlitten ,0.2727272727272727
61,61,achtgesichterambiwasse/achtgesichterambiwasse_0061.wav,als wäre mit den drei booten ihr herz fortgezogen und totenstill war das kleine bambushaus,es wäre mit den drei boten ihr herz fortgezogen und totenstill war das kleine bambus haus  ,0.2666666666666666
62,62,achtgesichterambiwasse/achtgesichterambiwasse_0062.wav,«schliesse die fenster und hole mir den grauen papagei nicht den grünen und nicht den gelben  den grauen singende seemuschel,schließt er die fenster und hole mir den grauen papagei nicht den grünen nicht den gelben den grauen singende sie muschel ,0.25
63,63,achtgesichterambiwasse/achtgesichterambiwasse_0063.wav,den mein vetter mir vor ein paar wochen mitgebracht hat aus nagasaki» die magd gehorchte brachte den grauen papagei,in den mein vetter mir vor ein paar wochen mitgebracht hat aus nagasaki die markt gehorcht der brachte den grauen papagei ,0.2631578947368421
64,64,achtgesichterambiwasse/achtgesichterambiwasse_0064.wav,und wurde dann von ihrer herrin schlafen geschickt,und wurde dann von ihre herrin schlafen geschickt  ,0.125
65,65,achtgesichterambiwasse/achtgesichterambiwasse_0065.wav,aber sie hörte in der nacht bis zum morgen wie hanake ihrem grauen papagei drei sätze lehrte ich grüsse dich,aber sie hörte in der nacht bis zum morgen wie handwerke ihrem grauen papagei drei sätze lehrte ich begrüße dich ,0.1
66,66,achtgesichterambiwasse/achtgesichterambiwasse_0066.wav,ich liebe dich ich töte dich,ich liebe dich ich tötet dich ,0.1666666666666666
67,67,achtgesichterambiwasse/achtgesichterambiwasse_0067.wav,und sie sah an der weissen papierwand den schatten ihrer herrin aufrecht neben dem schatten des vogels sitzen,und sie sah an der weißen papier wand den schatten ihrer harren aufrecht neben dem schatten des vogels sitzen ,0.2222222222222222
68,68,achtgesichterambiwasse/achtgesichterambiwasse_0068.wav,und immer wenn der vogel sagen sollte ich liebe dich,und immer wenn der vogel sagen sollte ich liebe dich ,0.0
69,69,achtgesichterambiwasse/achtgesichterambiwasse_0069.wav,dann lachte er so unheimlich knarrend dass es der magd gruselte,dann lachte er so unheimlich knarrend dass es der markt gruselte  ,0.0909090909090909
70,70,achtgesichterambiwasse/achtgesichterambiwasse_0070.wav,während der ganzen nacht lachten und sprachen hanake und ihr vogel zusammen und ganz früh rief hanake zwei dienerinnen die sie frisierten,während der ganzen nach lachten und sprachen handwerke und ihr vogel zusammen und ganz früh rief kanake zwei dienerinnen die sie frisierten ,0.1363636363636363
71,71,achtgesichterambiwasse/achtgesichterambiwasse_0071.wav,und seemuschel die lieblingsmagd die alle verstecke des hauses kannte,und see muschel die lieblings markt die alle verstecke des hauses kannte ,0.4
72,72,achtgesichterambiwasse/achtgesichterambiwasse_0072.wav,musste aus dem ältesten lackkasten zwei winzige kostbare satsumavasen holen die sich in der familie seit hunderten von jahren vererbt hatten,musste aus dem ältesten lag kasten zwei winzige kostbare satsumas holen die sich in der familie seit hunderten von jahren vererbt hatten ,0.1428571428571428
73,73,achtgesichterambiwasse/achtgesichterambiwasse_0073.wav,und musste am seeufer zwei schwertlilien abschneiden eine blaue und eine gelbe,und musste am seeufer zwei schwert lilien abschneiden eine blaue und eine gelber  ,0.25
74,74,achtgesichterambiwasse/achtgesichterambiwasse_0074.wav,die vasen mit je einer lilie wurden von hanake in eine nische gestellt,die saßen mit je einer lilie wurden von handwerke in eine nische gestellt ,0.1538461538461538
75,75,achtgesichterambiwasse/achtgesichterambiwasse_0075.wav,und ein auf weisse seide geschriebenes gedicht eigenhändig an die wand gehängt das gedicht hiess,und ein auf weiße seite geschriebenen gedicht eigenhändig an die wand gehängt des gedicht hieß ,0.3333333333333333
76,76,achtgesichterambiwasse/achtgesichterambiwasse_0076.wav,auf dem see steht ein weisses segelndes boot mein herz mein leises mein auge mein heisses ,auf dem see steht ein weißes segeln des bot mein herz mein leises mein auge mein heißt es ,0.375
77,77,achtgesichterambiwasse/achtgesichterambiwasse_0077.wav,die menschen die einsam sind sind wie die boote von yabase die blass hintreiben im abendwind,die menschen die einsam sind sind wie die boote von ja base die blass hin treiben im abendwind sein ,0.3125
78,78,achtgesichterambiwasse/achtgesichterambiwasse_0078.wav,hanake hatte an diesem tag allen ihren freunden und freundinnen absagen lassen,kanake hatte an diesem tag allen ihren freunden und freundinnen absagen lassen ,0.0833333333333333
79,79,achtgesichterambiwasse/achtgesichterambiwasse_0079.wav,und sass drei stunden vor sonnenuntergang schon am fenster das auf den see sah,und saß drei stunden vor sonnenuntergang schon am fenster das auf den see sah ,0.0714285714285714
80,80,achtgesichterambiwasse/achtgesichterambiwasse_0080.wav,auf dem seespiegel brannte die sonne wie ein helles herdfeuer und hanake hielt einen fächer zwischen sich und das grelle licht,auf dem sie spiegel brannte die sonne wie ein helles herdfeuer unternahm erhielt einen fächer zwischen sich und das grell ehrlich ,0.3333333333333333
81,81,achtgesichterambiwasse/achtgesichterambiwasse_0081.wav,aber von zeit zu zeit strengte sie sich an dem licht zu trotzen und suchte mit aufmerksamen augen die funkelnde seefläche ab,aber von zeit zu zeit strengte sie sich an dem licht zu trotzen und suchte mit aufmerksamen augen die funkelnde see fläche ab ,0.0909090909090909
82,82,achtgesichterambiwasse/achtgesichterambiwasse_0082.wav,und wünschte die drei segel herbei die gestern abend ihre ruhe mit fortgenommen hatten,und wünschte die drei segel herbei die gestern abend ihrer nur mit vorgenommen hatten  ,0.2142857142857142
83,83,achtgesichterambiwasse/achtgesichterambiwasse_0083.wav,auf hanakes kleid waren schwertlilien gewebt blaue und gelbe auf silbrigem grund und ihr kopf sah aus der silbrigen seide,auf handwerkes kleid waren schwert liliengewächs blaue und gelber auf silbernem grund und ihr kopf sah aus der silbrigen seide ,0.25
84,84,achtgesichterambiwasse/achtgesichterambiwasse_0084.wav,als schaute er aus dem kamm einer hellen welle,als schaute er aus dem kam einer hellen welle  ,0.1111111111111111
85,85,achtgesichterambiwasse/achtgesichterambiwasse_0085.wav,sie hatte seit gestern abend noch nicht geschlafen und das schauen auf die sonnenfeurige seefläche brannte ihr fast die augen aus,sie hatte seit gestern abend noch nicht geschlafen und das schauen auf die sondern feurige sehr fläche brannte ihr fasst die augen aus ,0.23809523809523803
86,86,achtgesichterambiwasse/achtgesichterambiwasse_0086.wav,so dass sie für einen augenblick die augenlider schloss und ohne es zu wissen einschlief,so dass sie für einen augenblick die augenlider schloss und ohne es zu wissen einschlief  ,0.0
87,87,achtgesichterambiwasse/achtgesichterambiwasse_0087.wav,sie hatte vielleicht eine kleine stunde geschlafen da weckte sie der graue papagei,sie hatte vielleicht eine kleine stunde geschlafen da weckte sie der graue papagei ,0.0
88,88,achtgesichterambiwasse/achtgesichterambiwasse_0088.wav,der ihr auf die schulter kletterte und ihr ins ohr krächzte «ich liebe dich» und dazu schnarrend lachte,der ihr auf die schulter kletterte und ihr ins ohr krächzte ich liebe dich und dazu schnarrend lachte  ,0.1111111111111111
89,89,achtgesichterambiwasse/achtgesichterambiwasse_0089.wav,hanake hob das köpfchen aus der silbrigen seide und sah am landungssteg ein grosses gerafftes segel,kanake hob das köpfchen aus der silbrigen seide und sah am landung steht ein großes gerafft des segel  ,0.375
90,90,achtgesichterambiwasse/achtgesichterambiwasse_0090.wav,das war so nah an ihrem fenster dass sie die segelleinwand an die maststange klatschen hörte sie bog sich vorsichtig aus dem fenster und sah,das war so nahe an ihrem fenster dass sie die segel leinwand an die mast stange klatschen hörte sie bog sich vorsichtig aus dem fenster und sah ,0.2
91,91,achtgesichterambiwasse/achtgesichterambiwasse_0091.wav,dass das segelboot festgebunden war aber im boot war kein mensch zu sehen,das das segelboot festgebunden war aber im bot war kein mensch zu sehen  ,0.1538461538461538
92,92,achtgesichterambiwasse/achtgesichterambiwasse_0092.wav,das ist eines der drei boote sagte atemstockend ihr heimkehrendes herz,das ist eines der drei boote sagte atem stockend ihr heimkehren des herz ,0.3636363636363636
93,93,achtgesichterambiwasse/achtgesichterambiwasse_0093.wav,aber sie wusste nicht war es das erste das zweite oder das dritte boot,aber sie wusste nicht was das erste das zweite oder das dritte  ,0.2142857142857142
94,94,achtgesichterambiwasse/achtgesichterambiwasse_0094.wav,da trat ihre lieblingsmagd die singende seemuschel herein und brachte einen zusammengerollten brief,der trat ihre lieblings markt die singende sie muschel herein und brachte einen zusammengerollten brief  ,0.3846153846153846
95,95,achtgesichterambiwasse/achtgesichterambiwasse_0095.wav,«o herrin diesen brief sollt ihr lesen und euch für einen hohen besuch bereit halten» flüsterte die magd,o in diesen brief sollt ihr lesen und euch für einen hohen besuch bereithalten flüsterte die markt  ,0.2777777777777778
96,96,achtgesichterambiwasse/achtgesichterambiwasse_0096.wav,im brief stand «gestern als wir nach sonnenuntergang bei deinem hause kreuzten schöne hanake hatten wir das unglück dich zu erschrecken,im brief stand gestern als wir nach sonnenuntergang bei deinem hause kreuzten schöne handwerke hatten wir das unglück dich zu erschrecken ,0.0952380952380952
97,97,achtgesichterambiwasse/achtgesichterambiwasse_0097.wav,aber auch das glück dir das leben zu retten und das allergrösste glück dich zu sehen um dich nie mehr zu vergessen wurde mir zuteil,aber auch das glück die das leben zu retten und das allergrößte glück dich zu sehen um dich nie mehr zu vergessen wurde mir zuteil ,0.08
98,98,achtgesichterambiwasse/achtgesichterambiwasse_0098.wav,ich sende dir heute meinen treuesten freund der dich gestern rettete,ich sender die heute meinen treuesten freund der dich gestern rettete ,0.1818181818181818
99,99,achtgesichterambiwasse/achtgesichterambiwasse_0099.wav,der dich heute zu mir über den see bringen soll und in meine arme die dich sehnsüchtig erwarten,und dich heute zu mir über den sie bringen soll und in meine arme die dich sehnsüchtig erwarten ,0.1111111111111111
100,100,achtgesichterambiwasse/achtgesichterambiwasse_0100.wav,ich grüsse dich hanake» der brief war unterschrieben mit dem namen eines jungen prinzen aus dem kaiserlichen hause,ich begrüße dich kanake der brief war unterschrieben mit dem namen eines jungen prinzen aus dem kaiserlichen hause ,0.1111111111111111
101,101,achtgesichterambiwasse/achtgesichterambiwasse_0101.wav,und hanake wusste als guterzogene japanerin dass es eine ungeheure ehre bedeutete,unter nager wusste als ruth erzogene japanerin dass es eine ungeheure ehre bedeutete ,0.3333333333333333
102,102,achtgesichterambiwasse/achtgesichterambiwasse_0102.wav,dass ein kaiserlicher prinz sie seiner liebe würdigte und sie liess den freund des prinzen sogleich zu sich herein ins zimmer bitten,das einen kaiserlicher prinz sie seiner liebe würdigte und sie ließ den freund des prinzen sogleich zu sich herein ins zimmer bitten  ,0.1363636363636363
103,103,achtgesichterambiwasse/achtgesichterambiwasse_0103.wav,die diele zitterte und ein prächtiger junger mann trat ein hanake fiel vor ihm auf die kniee und berührte mit der stirn die diele,die diele zitterte und ein prächtiger junger mann trat ein hanna gefiel vor ihm auf die knie und berührte mit der stören die diele ,0.1666666666666666
104,104,achtgesichterambiwasse/achtgesichterambiwasse_0104.wav,wie es die japanische begrüssungssitte vorschreibt,wie es die japanische begrüße der vorschreibt  ,0.3333333333333333
105,105,achtgesichterambiwasse/achtgesichterambiwasse_0105.wav,aber es war nicht als ob ein mensch sondern als ob ein stürmisches kleines pferd ins zimmer gekommen sei,aber es waren nicht als ob ein mensch sondern als ob ein stürmisches kleines pferd ins zimmer gekommen sei  ,0.0526315789473684
106,106,achtgesichterambiwasse/achtgesichterambiwasse_0106.wav,sie hörte den mann mit beiden füssen mehrmals kräftig aufstampfen und aus seiner brust drangen ein paar hohle seufzende laute,sie hörte den man mit beiden füßen mehrmals kräftig auf stampfen und aus seiner brust drangen ein paar hole seufzend laute  ,0.3
107,107,achtgesichterambiwasse/achtgesichterambiwasse_0107.wav,hanake wartete mit gesenktem angesicht lange zeit auf die anrede des kaiserlichen gesandten,kanake wartete mit gesenktem angesicht lange zeit auf die anrede des kaiserlichen gesandten ,0.0769230769230769
108,108,achtgesichterambiwasse/achtgesichterambiwasse_0108.wav,denn sie durfte sich erst erheben wenn der begrüsste sie dazu aufforderte,denn sie durfte sich erst erheben wenn der begrüßte sie dazu aufforderte  ,0.0833333333333333
109,109,achtgesichterambiwasse/achtgesichterambiwasse_0109.wav,nach einer weile als immer noch keine anrede erfolgte hob hanake leicht ihr gesicht von der diele,nach einer weiler als immer noch keine anrede erfolgte hob anlage leicht ihr gesicht von der diele ,0.1176470588235294
